nuts2_code,period,nouveaute_count,influence_count,rupture_count,total_patents,region_name
PL84,1980-1989,0.0,0.0,0.0,0.4583333333333333,Podlaskie
PL92,1980-1989,0.0,0.0,0.0,1.1142857142857143,Mazowiecki
PLZZ,1980-1989,0.0,0.0,0.0,2.225,PLZZ
PT11,1980-1989,0.0,0.0,0.0,8.5,Norte
PT19,1980-1989,0.0,0.0,0.0,2.166666666666667,PT19
PT1A,1980-1989,0.0,0.0,0.0,16.583333333333336,PT1A
PT1B,1980-1989,0.0,0.0,0.0,2.233333333333334,PT1B
PT1C,1980-1989,0.0,0.2,0.0,1.7,PT1C
PT1D,1980-1989,0.0,0.0,0.0,1.0,PT1D
PTZZ,1980-1989,0.0,0.0,0.0,7.4,PTZZ
RO11,1980-1989,0.0,0.0,0.0,1.0,Nord-Vest
RO12,1980-1989,0.0,0.0,0.0,2.0,Centru
RO22,1980-1989,0.0,0.0,0.0,0.4,Sud-Est
RO32,1980-1989,0.0,0.0,0.0,2.6,Bucuresti-Ilfov
SE32,1980-1989,0.0,3.333333333333333,0.0,130.96190476190475,Mellersta Norrland
SE33,1980-1989,0.0,3.1666666666666665,0.0,178.53333333333333,Ovre Norrland
SI03,1980-1989,0.0,0.0,0.0,1.1666666666666667,Vzhodna Slovenija
SI04,1980-1989,0.0,0.0,0.0,0.6666666666666666,Zahodna Slovenija
SIZZ,1980-1989,0.0,0.0,0.0,0.16666666666666666,SIZZ
UKC1,1980-1989,0.0,0.0,0.6666666666666667,50.95,Tees Valley and Durham
UKF3,1980-1989,0.0,2.5,2.8333333333333335,105.6107142857143,Lincolnshire
UKH1,1980-1989,0.0,0.0,0.0,0.33333333333333337,East Anglia
UKK3,1980-1989,0.0,0.33333333333333337,1.0,108.94166666666666,Cornwall and Isles of Scilly
UKL3,1980-1989,0.0,1.0,1.2,75.25119047619049,UKL3
UKL4,1980-1989,0.0,2.5,0.0,74.78333333333333,UKL4
UKM0,1980-1989,0.0,0.5,1.5,86.4,UKM0
UKM9,1980-1989,0.0,0.0,0.0,51.78333333333334,UKM9
UKZZ,1980-1989,0.0,0.0,0.0,0.16666666666666666,UKZZ
FR10,1990-1999,65.96428571428571,158.12539682539682,144.98095238095237,22573.06896915905,Ile-de-France
SE11,1990-1999,57.41666666666667,49.233333333333334,139.73333333333335,4635.8020380617345,Stockholm
FI1B,1990-1999,57.30833333333334,20.7,165.44642857142856,3084.8149021268587,Helsinki-Uusimaa
NL41,1990-1999,56.37500000000001,42.69285714285714,107.02500000000002,7463.206899533216,Noord-Brabant
ITC4,1990-1999,48.16666666666667,30.4,34.18333333333334,9291.730194805194,Lombardia
NL36,1990-1999,37.11904761904762,9.416666666666668,43.65,2946.7932947900053,NL36
ITH5,1990-1999,35.50000000000001,10.166666666666668,8.708333333333334,3714.124603174603,Emilia-Romagna
CH02,1990-1999,34.91666666666667,45.45,27.4,3425.852887609467,Espace Mittelland
UKJ1,1990-1999,34.599603174603175,13.333333333333334,36.98975468975469,3729.4635014838964,"Berkshire, Bucks and Oxon"
DE21,1990-1999,30.883333333333333,459.6773448773449,49.969047619047615,15166.276805139307,Oberbayern
FRL0,1990-1999,29.60952380952381,17.333333333333336,51.05119047619048,2702.581755642961,Provence-Alpes-Cote d'Azur
ITH3,1990-1999,29.5,7.0,2.8333333333333335,2723.9983747246906,Veneto
NL32,1990-1999,29.164285714285715,6.166666666666667,14.166666666666668,1843.6747655122656,Noord-Holland
UKJ3,1990-1999,27.35,9.507575757575758,30.217676767676767,1560.3116633366635,Hampshire and Isle of Wight
DE11,1990-1999,25.883333333333333,669.8391830391831,36.66666666666667,14003.675044066476,Stuttgart
DK01,1990-1999,24.194444444444443,12.65,19.511111111111113,2873.461659174159,Hovedstaden
UKM0,1990-1999,22.752380952380953,2.0,16.86904761904762,423.743253968254,UKM0
UKH6,1990-1999,22.304761904761907,3.6833333333333336,48.77445887445887,879.6784271284271,UKH6
DEA2,1990-1999,22.083333333333332,185.4035714285714,24.566666666666666,9115.308898454488,Koln
FRK2,1990-1999,21.826190476190476,63.95833333333334,21.142857142857146,8787.980740999627,Rhone-Alpes
UKJ2,1990-1999,20.894444444444446,14.700000000000001,31.75,2379.9702380952385,"Surrey, E/W Sussex"
SE22,1990-1999,20.22222222222222,19.25,31.608333333333334,2066.572865902214,Sydsverige
